setup_id,symbol,direction,setup_time,entry_time,entry_price,sl,tp,planned_rr,exit_time,exit_price,exit_reason,pnl_r,rectangle_size_points,rectangle_low,rectangle_high,ai_score
GBPUSD_2026-04-22T21:45:00_SHORT,GBPUSD,sell,2026-04-22T21:45:00,2026-04-22T22:01:00,1.35033,1.35095,1.3484699999999998,3.0,2026-04-23T00:15:00,1.3484699999999998,TP_HIT,3.0,57.00000000001814,1.35038,1.35095,100
GBPUSD_2026-04-28T00:00:00_SHORT,GBPUSD,sell,2026-04-28T00:00:00,2026-04-28T00:15:00,1.35381,1.35413,1.3528499999999997,3.0,2026-04-28T01:01:00,1.3528499999999997,TP_HIT,3.0,31.000000000003244,1.35382,1.35413,100
GBPUSD_2026-04-29T21:00:00_SHORT,GBPUSD,sell,2026-04-29T21:00:00,2026-04-29T21:16:00,1.3475,1.34814,1.34558,3.0,2026-04-29T22:27:00,1.34814,SL_HIT,-1.0,61.99999999998428,1.34752,1.34814,100
GBPUSD_2026-04-29T22:45:00_SHORT,GBPUSD,sell,2026-04-29T22:45:00,2026-04-29T23:01:00,1.34799,1.34817,1.3474499999999998,3.0,2026-04-29T23:16:00,1.34817,SL_HIT,-1.0,14.000000000002897,1.34803,1.34817,100
GBPUSD_2026-05-01T15:45:00_LONG,GBPUSD,buy,2026-05-01T15:45:00,2026-05-01T16:02:00,1.3622,1.36145,1.3644500000000002,3.0,2026-05-01T16:23:00,1.36145,SL_HIT,-1.0,45.999999999990486,1.36145,1.36191,100
GBPUSD_2026-05-04T14:15:00_SHORT,GBPUSD,sell,2026-05-04T14:15:00,2026-05-04T14:34:00,1.35648,1.35674,1.3556999999999995,3.0,2026-05-04T14:37:00,1.35674,SL_HIT,-1.0,18.0000000000069,1.35656,1.35674,100
GBPUSD_2026-05-04T19:00:00_SHORT,GBPUSD,sell,2026-05-04T19:00:00,2026-05-04T19:15:00,1.35379,1.35415,1.3527100000000003,3.0,2026-05-04T19:24:00,1.35415,SL_HIT,-1.0,31.000000000003244,1.35384,1.35415,100
GBPUSD_2026-05-04T19:30:00_SHORT,GBPUSD,sell,2026-05-04T19:30:00,2026-05-04T19:45:00,1.35377,1.35415,1.3526299999999998,3.0,2026-05-04T21:10:00,1.3526299999999998,TP_HIT,3.0,28.99999999999014,1.35386,1.35415,100
GBPUSD_2026-05-05T06:00:00_SHORT,GBPUSD,sell,2026-05-05T06:00:00,2026-05-05T06:15:00,1.3525,1.35284,1.35148,3.0,2026-05-05T06:24:00,1.35148,TP_HIT,3.0,22.999999999995243,1.35261,1.35284,100
GBPUSD_2026-05-05T17:15:00_LONG,GBPUSD,buy,2026-05-05T17:15:00,2026-05-05T17:31:00,1.35498,1.35476,1.3556400000000004,3.0,2026-05-05T17:45:00,1.35498,BREAKEVEN,0.0,19.00000000001345,1.35476,1.35495,100
GBPUSD_2026-05-05T18:30:00_LONG,GBPUSD,buy,2026-05-05T18:30:00,2026-05-05T18:45:00,1.35499,1.3546,1.3561599999999996,3.0,2026-05-05T19:25:00,1.3546,SL_HIT,-1.0,28.000000000005794,1.3546,1.35488,100
GBPUSD_2026-05-06T13:00:00_LONG,GBPUSD,buy,2026-05-06T13:00:00,2026-05-06T13:15:00,1.36129,1.36025,1.3644099999999997,3.0,2026-05-06T13:30:00,1.36025,SL_HIT,-1.0,83.00000000001084,1.36025,1.36108,100
